title,genre,console,rating,digital,checked_out,quantity,playable mode,desc
Life is Strange,"adventure, interactive drama",PS4,M,FALSE,FALSE,3,single player,"Life Is Strange follows the exploits of 18-year old Max Caulfield, a high school senior who learns she has the power to rewind time when she saves her childhood friend, Chloe Price, from being killed."
Mafia 3,"action adventure, open world",PS4,M,FALSE,FALSE,1,single player,"After the murder of his surrogate family at the hands of the Italian mafia, Vietnam War veteran Lincoln Clay seeks vengeance on those who took away the only thing that mattered to him."
Metal Gear Solid: The Phantom Pain,action adventure,PS4,M,FALSE,FALSE,2,"single player, online multiplayer","In the aftermath of the events of Ground Zeroes and the destruction of Militaires Sans Frontières falls into a coma. Nine years later, he awakens and helps lead a new mercenary group, Diamond Dogs."
Octodad: The Dadliest Catch,adventure,PS4,E_10,TRUE,FALSE,2,"single player, offline multiplayer",You play as an octopus that conceals his identity to be a human dad
Playstation VR Worlds,simulation,PS4 VR,M,FALSE,FALSE,1,single player,Visit different worlds in VR
Shadow of the Colossus,action adventure,PS4,T,FALSE,FALSE,1,single player,Protagonist Wander's goal is to resurrect the maiden Mono by destroying the giant colossi
SuperHot,FPS,PS4 VR,T,FALSE,FALSE,1,single player,"Superhot sets the player in a minimalistic environment, taking out hostile attackers that are trying to kill them"
The Walking Dead: The Telltale Series (Collection),"adventure, interactive drama",PS4,M,FALSE,FALSE,1,single player,"Lee is on his way to prison, until he realizes that there is a zombie apocalypse. Will he and the little girl Clementine survive this ordeal?"
The Walking Dead: The Telltale Series ,"adventure, interactive drama",PS4,M,FALSE,FALSE,2,single player,"Lee is on his way to prison, until he realizes that there is a zombie apocalypse. Will he and the little girl Clementine survive this ordeal?"
Tomb Raider: Definitive Edition,action adventure,PS4,M,FALSE,FALSE,2,"single player, online multiplayer","Lara set out on her first expedition aboard the ship Endurance, with the intention of finding the lost kingdom of Yamatai. By her suggestion and against Whitman's advice, the expedition ventures into the Dragon's Triangle. "
Uncharted: The Lost Legacy,action adventure,PS4,M,FALSE,FALSE,1,"single player, online multiplayer","In India, treasure hunter Chloe Frazer searches for the legendary tusk of Ganesh, the son of Hindu god Shiva, who lost the tusk while defending his father's temple. Chloe's own father was killed by bandits while searching for the tusk. Chloe slips past insurgents and meets up with mercenary Nadine Ross. They sneak into the office of the insurgents' leader, Asav, who wants to use the tusk to rally India into a civil war. Chloe and Nadine steal a map pointing toward the tusk within the ancient Hoysala Empire and a disc that acts as a key."
The Legend of Zelda: Breath of the Wild,"action adventure, open world",Nintendo switch,E_10,FALSE,FALSE,1,single player,Link needs to save the Hyrule Kingdom and Princess Zelda from destruction
Mario Kart 8 Deluxe,racing,Nintendo switch,E,FALSE,FALSE,1,"single player, offline multiplayer",Play as Mario characters and race against your friends!
Call of Duty: Modern Warfare 2,FPS,PS3,M,FALSE,FALSE,2,"single player, offline multiplayer, online multiplayer","Despite the efforts of the U.S. Marine Corps and British Special Air Service in the previous game, the ultranationalists seize control of the Russian Federation, making Imran Zakhaev a martyr and straining diplomatic relations with the United States. "
LA Noire,action adventure,PS3,M,FALSE,FALSE,1,single player,"Cole Phelps, a war hero and rookie cop, moves up the ranks and solves dark cases in 1940s Los Angeles."
Mass Effect Trilogy,RPG,PS4,M,FALSE,FALSE,1,single player,"You are Commander Shepard creating a peaceful universe for all alien species; includes Mass Effect 1, 2, and 3"
Portal 2,puzzle,PS3,E_10,FALSE,FALSE,1,"single player, offline multiplayer",Chell needs to escape from the Aperture Science research lab by solving puzzles
Red Dead Redemption,action adventure,PS3,M,FALSE,FALSE,1,"single player, online multiplayer","John Marstonis taken from his family by Bureau of Investigation agents Edgar Ross and his partner, Archer Fordham, and will only be granted amnesty when he brings the remaining members of his old gang to justice."
The Sims 3,simulation,PS3,T,FALSE,FALSE,1,single player,"Build your own house, family, and a community of Sims characters!"
Accounting VR,"adventure, indie, simulation",HTC VIVE,E,TRUE,FALSE,1,single player,"The player is introduced in a small basement office by two accountants  through a phone call as a candidate for a new ""virtual reality accounting"" experiment, which supposedly increases efficiency in accounting"
Allumette,"casual, indie",HTC VIVE,E,TRUE,FALSE,1,single player,"A story about love, sacrifice and a deep bond between a girl and her mother"
Blocks,"education, design illustrator",HTC VIVE,E,TRUE,FALSE,1,single player,"Blocks lets you easily create 3D objects in virtual reality, no matter your modelling experience."
Dokie Dokie Literature Club,"casual, indie",PC,M,TRUE,FALSE,1,single player,The Literature Club is full of cute girls! Will you write the way into their heart? This game is not suitable for children or those who are easily disturbed.
Found,"adventure, casual, indie",HTC VIVE,E,TRUE,FALSE,1,single player,"Found is an interactive short film experience. Its story speaks to the connection and lack there of between nature, technology and fellow travelers as you make your way through a fantastical yet familiar world."
Google Spotlight Stories: Pearl,adventure,HTC VIVE ,E,TRUE,FALSE,1,single player,Pearl VR follows a girl and her dad as they crisscross the country chasing their dreams.
Google Spotlight Stories: Son of Jaguar,adventure,HTC VIVE ,E,TRUE,FALSE,1,single player,"In the most important match of his life, the once mighty masked luchador, Son of Jaguar, faces his legacy, his family, and what it means to be a part of something bigger than himself."
Google Spotlight Stories: Sonaria,adventure,HTC VIVE ,E,TRUE,FALSE,1,single player,Sonaria follows two ever-changing creatures as they flow from one life-form to another on a vivid journey of sound and light.
Ikaruga,indie,PC,E,TRUE,FALSE,1,"single player, offline multiplayer",vertical shoot 'em up that features an unique polarity-switching gameplay
Night In the Woods,"indie, interactive drama, adventure",PC,T,TRUE,FALSE,1,single player,"NIGHT IN THE WOODS is an adventure game focused on exploration, story, and character, featuring dozens of characters to meet and lots to do across a lush, vibrant world."
"Papers, please",puzzle, indie,PC,T,TRUE,FALSE,1,single player, Your job as immigration inspector is to control the flow of people entering the Arstotzkan side of Grestin from Kolechia.
Portal ,puzzle,PC,T,TRUE,FALSE,1,single player,Chell needs to escape from the Aperture Science research lab by solving puzzles
Psychonauts,action adventure,PC,T,TRUE,FALSE,1,single player,This classic action/adventure platformer from acclaimed developers Double Fine Productions follows the story of a young psychic named Razputin.
Senza Peso,"adventure, casual, indie",HTC VIVE,E,TRUE,FALSE,1,single player,"As a soul transitioning into the afterlife, Senza Peso shepherds you on a spiritual journey through a beautifully dark world of lost souls and redemption."
Spec Ops: The Line,action adventure,PC,M,FALSE,FALSE,2,"single player, online multiplayer",A Third-Person modern military Shooter designed to challenge players' morality by putting them in the middle of unspeakable situations.
The Body VR: Inside a Cell,"education, simulation",HTC VIVE,E_10,TRUE,FALSE,1,single player,an educational virtual reality experience that takes the user inside the human body.
The Cubicle.,"indie, simulation",HTC VIVE,E_10,TRUE,FALSE,1,single player,"The Cubicle is a short VR experience about your regular everyday job in an office, or is it?"
The Lab,action adventure,HTC VIVE,E_10,TRUE,FALSE,1,single player,"Welcome to The Lab, a compilation of Valve’s room-scale VR experiments set in a pocket universe within Aperture Science. Fix a robot, defend a castle, adopt a mechanical dog, and more. Still not sold? It’s free!"
The Rec Room,"adventure, casual",HTC VIVE,E_10,TRUE,FALSE,1,"single player, offline multiplayer","Rec Room is the best place to hang out with friends from all around the world! Play multiplayer games like Paintball, or just chill in the park."
The Red Stare,"action adventure, indie",HTC VIVE,T,TRUE,FALSE,1,single player,Become a secret agent in the 1950s and observe your neighbours to find the communist spy!
The Rose and I,"casual, indie",HTC VIVE,E_10,TRUE,FALSE,1,single player,"“The Rose And I” is about loneliness, friendship, love, and loss. Come meet a lonely Rose living in the unlikeliest of places, and join her as she transports you to a brand new universe."
The Sims 4,simulation,PC,T,FALSE,FALSE,2,single player,"Build your own house, family, and a community of Sims characters!"
The Wildstar,MMORPG,PC,T,TRUE,FALSE,1,online multiplayer,"Choose a side and fight for control of Nexus, while uncovering the secrets of the hyper-advanced Eldan, that disappeared from the planet long ago."
Assassin's Creed 2,action adventure,XBOX 360,M,FALSE,FALSE,1,single player,Play as Ezio the Assassin and explore Italy
Dragon Age: Origins,"RPG, action adventure",XBOX 360,M,FALSE,FALSE,1,single player,The Darkspawns are taking over Fereldan. You as the Grey Warden must save your country but must also overthrow the Fereldan political corruption.
Dragon Age: Awakening,"RPG, action adventure",XBOX 360,M,FALSE,FALSE,1,single player,"Sequel to DA:Origins; now that the Blight is over, you are now the commander of the Grey Wardens in Amaranthine."
Dragon Age 2,"RPG, action adventure",XBOX 360,M,FALSE,FALSE,1,single player,Hawke is trying to escape the Blight and create a name for themsef as the champion of Kirkwall.
Dragon Age Inquisition,"RPG, action adventure",XBOX 360,M,FALSE,FALSE,1,single player,You as the inquisitor have the ability to seal Rifts and protect the world from being demolished by demons.
Dragon's Dogma,"RPG, action adventure",XBOX 360,M,FALSE,FALSE,1,single player,"The dragon had taken your heart away, and now it is your quest to take it back."
Diablo 3,"RPG, action adventure",XBOX 360,M,FALSE,FALSE,1,single player,"The game takes place in Sanctuary, the dark fantasy world of the Diablo Series, twenty years after the events of Diablo II. "
Eternal Sonata,RPG,XBOX 360,M,FALSE,FALSE,1,single player,"The game for the most part takes place within the dream world of Chopin, with brief segments in the real world, where Chopin is on his death bed. "
Left 4 Dead,"FPS, horror",XBOX 360,M,FALSE,FALSE,1,"single player, offline multiplayer","Your world is overrun by zombies, and now you must try to survive this apocalypse by getting to the safe house."
Left 4 Dead 2,"FPS, horror",XBOX 360,M,FALSE,FALSE,1,"single player, offline multiplayer","Your world is overrun by zombies, and now you must try to survive this apocalypse by getting to the safe house."
Elder Scrolls: Oblivion,"FPS, RPG, open world",XBOX 360,M,FALSE,FALSE,1,single player,Travel around Cyrodil as you do side quests and join cool guilds; gates of Oblivion are opened throughout Cyrodil and it is your job to close them
Elder Scrolls: Skyrim,"FPS, RPG, open world",XBOX 360,M,FALSE,FALSE,1,single player,"Dragons were supposed to be long extinct, but now they're coming back! You, the Dragonborn, are the only one who can destroy the dragons before the dragons can destory Skyrim"
Cities: Skyline,"education, simulation",XBOX 1,E,FALSE,FALSE,1,single player,Build your own city
FarCry 5,"action adventure, FPS",XBOX 1,M,FALSE,FALSE,1,"single player, online multiplayer","A deputy is sent to the town of Hope County to arrest Joseph Seed, a corrupt evangelical religious leader who rules the town with the help of his disturbed followers."
